レポート開始日,レポート終了日,キャンペーン名,プラットフォーム,配置,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-09-01,2026-09-30,新規獲得_コンバージョン,instagram,フィード,91,actions:offsite_conversion.fb_pixel_purchase,116282,258995,373621,3635,6531,91,634256
2026-09-01,2026-09-30,新規獲得_コンバージョン,instagram,ストーリーズ,31,actions:offsite_conversion.fb_pixel_purchase,66067,147152,212278,1502,2699,31,214430
2026-09-01,2026-09-30,新規獲得_コンバージョン,instagram,リール,31,actions:offsite_conversion.fb_pixel_purchase,66554,148235,213842,1702,3058,31,216009
2026-09-01,2026-09-30,新規獲得_コンバージョン,instagram,発見タブ,7,actions:offsite_conversion.fb_pixel_purchase,14853,33083,47725,380,683,7,51222
2026-09-01,2026-09-30,新規獲得_コンバージョン,facebook,フィード,85,actions:offsite_conversion.fb_pixel_purchase,110339,245759,354527,3136,5634,85,596870
2026-09-01,2026-09-30,新規獲得_コンバージョン,facebook,リール,10,actions:offsite_conversion.fb_pixel_purchase,25163,56046,80851,608,1092,10,67492
2026-09-01,2026-09-30,新規獲得_コンバージョン,facebook,インストリーム動画,4,actions:offsite_conversion.fb_pixel_purchase,18824,41927,60483,321,577,4,25457
2026-09-01,2026-09-30,新規獲得_コンバージョン,facebook,Marketplace,8,actions:offsite_conversion.fb_pixel_purchase,15034,33485,48304,406,729,8,57943
2026-09-01,2026-09-30,新規獲得_コンバージョン,audience_network,ネイティブ、バナー、インタースティシャル,3,actions:offsite_conversion.fb_pixel_purchase,24150,53789,77595,481,863,3,19051
2026-09-01,2026-09-30,新規獲得_コンバージョン,messenger,受信箱,1,actions:offsite_conversion.fb_pixel_purchase,8094,18027,26006,138,248,1,10946
2026-09-01,2026-09-30,リターゲティング,instagram,フィード,74,actions:offsite_conversion.fb_pixel_purchase,22674,58908,132053,1072,1914,74,563258
2026-09-01,2026-09-30,リターゲティング,instagram,ストーリーズ,26,actions:offsite_conversion.fb_pixel_purchase,13521,35129,78747,465,830,26,199866
2026-09-01,2026-09-30,リターゲティング,instagram,リール,24,actions:offsite_conversion.fb_pixel_purchase,12035,31268,70093,465,831,24,177903
2026-09-01,2026-09-30,リターゲティング,instagram,発見タブ,6,actions:offsite_conversion.fb_pixel_purchase,2969,7714,17293,115,205,6,46633
2026-09-01,2026-09-30,リターゲティング,facebook,フィード,60,actions:offsite_conversion.fb_pixel_purchase,18558,48216,108086,798,1424,60,457216
2026-09-01,2026-09-30,リターゲティング,facebook,リール,9,actions:offsite_conversion.fb_pixel_purchase,5274,13703,30718,193,344,9,64429
2026-09-01,2026-09-30,リターゲティング,facebook,インストリーム動画,3,actions:offsite_conversion.fb_pixel_purchase,3786,9836,22049,98,174,3,23318
2026-09-01,2026-09-30,リターゲティング,facebook,Marketplace,8,actions:offsite_conversion.fb_pixel_purchase,3380,8782,19686,138,247,8,59333
2026-09-01,2026-09-30,リターゲティング,audience_network,ネイティブ、バナー、インタースティシャル,3,actions:offsite_conversion.fb_pixel_purchase,6160,16005,35878,185,331,3,22133
2026-09-01,2026-09-30,リターゲティング,messenger,受信箱,2,actions:offsite_conversion.fb_pixel_purchase,1991,5173,11597,51,92,2,12264
2026-09-01,2026-09-30,認知_動画,instagram,フィード,96296,reach,96296,205539,127866,1064,1913,12,72163
2026-09-01,2026-09-30,認知_動画,instagram,ストーリーズ,68327,reach,68327,145840,90728,549,987,5,30468
2026-09-01,2026-09-30,認知_動画,instagram,リール,58882,reach,58882,125681,78186,532,957,4,26257
2026-09-01,2026-09-30,認知_動画,instagram,発見タブ,11299,reach,11299,24117,15003,102,184,1,5353
2026-09-01,2026-09-30,認知_動画,facebook,フィード,73333,reach,73333,156524,97374,736,1324,9,54501
2026-09-01,2026-09-30,認知_動画,facebook,リール,21057,reach,21057,44946,27961,180,323,1,7760
2026-09-01,2026-09-30,認知_動画,facebook,インストリーム動画,17206,reach,17206,36726,22847,104,186,1,3197
2026-09-01,2026-09-30,認知_動画,facebook,Marketplace,13481,reach,13481,28774,17900,129,231,1,7138
2026-09-01,2026-09-30,認知_動画,audience_network,ネイティブ、バナー、インタースティシャル,22696,reach,22696,48443,30137,159,287,,2460
2026-09-01,2026-09-30,認知_動画,messenger,受信箱,8267,reach,8267,17644,10977,50,90,,1536
