レポート開始日,レポート終了日,キャンペーン名,地域,結果,結果インジケーター,リーチ,インプレッション,消化金額 (JPY),リンクのクリック,クリック(すべて),購入,購入のコンバージョン値
2026-09-01,2026-09-30,新規獲得_コンバージョン,東京都,63,actions:offsite_conversion.fb_pixel_purchase,89130,198519,286380,2531,4547,63,441420
2026-09-01,2026-09-30,新規獲得_コンバージョン,神奈川県,29,actions:offsite_conversion.fb_pixel_purchase,44912,100033,144305,1214,2182,29,202208
2026-09-01,2026-09-30,新規獲得_コンバージョン,大阪府,29,actions:offsite_conversion.fb_pixel_purchase,47922,106736,153976,1296,2328,29,205485
2026-09-01,2026-09-30,新規獲得_コンバージョン,愛知県,18,actions:offsite_conversion.fb_pixel_purchase,33096,73716,106341,850,1528,18,128078
2026-09-01,2026-09-30,新規獲得_コンバージョン,埼玉県,21,actions:offsite_conversion.fb_pixel_purchase,37081,82590,119142,953,1711,21,143496
2026-09-01,2026-09-30,新規獲得_コンバージョン,千葉県,17,actions:offsite_conversion.fb_pixel_purchase,30865,68746,99171,793,1425,17,119443
2026-09-01,2026-09-30,新規獲得_コンバージョン,福岡県,11,actions:offsite_conversion.fb_pixel_purchase,20532,45730,65970,555,998,11,79235
2026-09-01,2026-09-30,新規獲得_コンバージョン,北海道,12,actions:offsite_conversion.fb_pixel_purchase,24480,54526,78657,629,1130,12,84764
2026-09-01,2026-09-30,新規獲得_コンバージョン,兵庫県,14,actions:offsite_conversion.fb_pixel_purchase,22358,49797,71837,605,1086,14,95868
2026-09-01,2026-09-30,新規獲得_コンバージョン,京都府,10,actions:offsite_conversion.fb_pixel_purchase,15753,35087,50617,426,765,10,70927
2026-09-01,2026-09-30,新規獲得_コンバージョン,静岡県,7,actions:offsite_conversion.fb_pixel_purchase,12634,28139,40593,324,583,7,46317
2026-09-01,2026-09-30,新規獲得_コンバージョン,広島県,6,actions:offsite_conversion.fb_pixel_purchase,10551,23500,33901,271,487,6,38681
2026-09-01,2026-09-30,新規獲得_コンバージョン,宮城県,4,actions:offsite_conversion.fb_pixel_purchase,7930,17663,25480,204,366,4,27458
2026-09-01,2026-09-30,新規獲得_コンバージョン,その他,30,actions:offsite_conversion.fb_pixel_purchase,68116,151716,218862,1658,2978,30,210296
2026-09-01,2026-09-30,リターゲティング,東京都,58,actions:offsite_conversion.fb_pixel_purchase,20361,52899,118583,861,1537,58,439061
2026-09-01,2026-09-30,リターゲティング,神奈川県,26,actions:offsite_conversion.fb_pixel_purchase,9867,25636,57468,397,710,26,193437
2026-09-01,2026-09-30,リターゲティング,大阪府,24,actions:offsite_conversion.fb_pixel_purchase,9724,25263,56632,392,699,24,181545
2026-09-01,2026-09-30,リターゲティング,愛知県,13,actions:offsite_conversion.fb_pixel_purchase,6020,15640,35061,230,411,13,101435
2026-09-01,2026-09-30,リターゲティング,埼玉県,13,actions:offsite_conversion.fb_pixel_purchase,5866,15241,34166,224,401,13,98845
2026-09-01,2026-09-30,リターゲティング,千葉県,12,actions:offsite_conversion.fb_pixel_purchase,5563,14452,32397,213,380,12,93730
2026-09-01,2026-09-30,リターゲティング,福岡県,10,actions:offsite_conversion.fb_pixel_purchase,4300,11171,25042,173,309,10,72250
2026-09-01,2026-09-30,リターゲティング,北海道,10,actions:offsite_conversion.fb_pixel_purchase,4939,12832,28765,189,338,10,74460
2026-09-01,2026-09-30,リターゲティング,兵庫県,12,actions:offsite_conversion.fb_pixel_purchase,4756,12356,27697,192,342,12,88788
2026-09-01,2026-09-30,リターゲティング,京都府,6,actions:offsite_conversion.fb_pixel_purchase,2238,5816,13038,90,161,6,43884
2026-09-01,2026-09-30,リターゲティング,静岡県,5,actions:offsite_conversion.fb_pixel_purchase,2471,6421,14394,95,169,5,39453
2026-09-01,2026-09-30,リターゲティング,広島県,4,actions:offsite_conversion.fb_pixel_purchase,1908,4957,11111,73,130,4,30453
2026-09-01,2026-09-30,リターゲティング,宮城県,4,actions:offsite_conversion.fb_pixel_purchase,1949,5065,11354,75,133,4,29390
2026-09-01,2026-09-30,リターゲティング,その他,18,actions:offsite_conversion.fb_pixel_purchase,10386,26985,60492,376,672,18,139622
2026-09-01,2026-09-30,認知_動画,東京都,89356,reach,89356,190725,118650,881,1584,9,57940
2026-09-01,2026-09-30,認知_動画,神奈川県,39939,reach,39939,85247,53032,375,674,4,23543
2026-09-01,2026-09-30,認知_動画,大阪府,43849,reach,43849,93593,58225,411,740,4,24617
2026-09-01,2026-09-30,認知_動画,愛知県,26556,reach,26556,56683,35263,237,426,2,13455
2026-09-01,2026-09-30,認知_動画,埼玉県,26486,reach,26486,56532,35169,236,425,2,13419
2026-09-01,2026-09-30,認知_動画,千葉県,22117,reach,22117,47207,29367,197,355,2,11206
2026-09-01,2026-09-30,認知_動画,福岡県,18082,reach,18082,38596,24011,170,305,1,9136
2026-09-01,2026-09-30,認知_動画,北海道,19017,reach,19017,40590,25251,169,305,1,8621
2026-09-01,2026-09-30,認知_動画,兵庫県,16383,reach,16383,34969,21754,154,276,2,9198
2026-09-01,2026-09-30,認知_動画,京都府,10197,reach,10197,21765,13540,96,172,1,6011
2026-09-01,2026-09-30,認知_動画,静岡県,10393,reach,10393,22184,13801,93,167,1,4989
2026-09-01,2026-09-30,認知_動画,広島県,8261,reach,8261,17632,10969,74,132,1,3965
2026-09-01,2026-09-30,認知_動画,宮城県,8064,reach,8064,17213,10708,72,129,1,3656
2026-09-01,2026-09-30,認知_動画,その他,52144,reach,52144,111298,69239,440,792,3,21077
